customer_id,company_name,industry,contact_person,phone
4001,Perum Rahimah Tbk,Property,Syahrini Winarsih,+62 (037) 362 5569
4002,UD Fujiati Saefullah,Energy,"Anastasia Zulkarnain, S.Sos",+62 (0536) 986-5176
4003,PD Nashiruddin (Persero) Tbk,Energy,Narji Haryanto,(005) 839-5645
4004,PD Hasanah Yolanda (Persero) Tbk,Energy,Ami Lazuardi,(096) 904 1345
4005,Perum Winarsih Widodo,Infrastructure,Anom Hartati,+62 (0875) 697-8498
4006,CV Hidayanto (Persero) Tbk,Property,Tgk. Emil Mahendra,081 578 3595
4007,Perum Wijayanti Sihombing,Infrastructure,Devi Rahmawati,0808374416
4008,PT Puspita Andriani,Infrastructure,Nova Wasita,+62-058-906-2238
4009,CV Haryanto Situmorang Tbk,Property,Raden Suryono,+62-081-411-7200
4010,PD Safitri Saefullah,Property,Alambana Hariyah,+62-0994-665-1190
4011,PD Firgantoro Zulaika Tbk,Property,Hana Sudiati,+62 (0970) 116-9055
4012,PT Widiastuti Melani (Persero) Tbk,Property,Ganjaran Sitompul,+62 (58) 889 5842
4013,PT Winarno,Energy,Hana Kusmawati,+62 (59) 189-2909
4014,UD Hidayat Farida Tbk,Retail,Ir. Bagas Wibowo,+62 (008) 954-0762
4015,PT Marpaung,Retail,Padmi Gunarto,087 264 8330
4016,UD Dabukke,Property,Dr. Cawuk Nurdiyanti,+62 (015) 781-8565
4017,PD Permata (Persero) Tbk,Retail,Rendy Maryadi,(043) 122-3583
4018,PT Wasita Prayoga,Retail,Cinta Najmudin,(0774) 505-7411
4019,UD Oktaviani (Persero) Tbk,Property,Anastasia Mardhiyah,+62-030-504-0365
4020,PT Mahendra Adriansyah,Retail,"Restu Megantara, S.Psi",+62 (86) 969-1158
4021,Perum Kurniawan,Infrastructure,Yani Santoso,(088) 230-1349
4022,UD Prasetya Wibowo (Persero) Tbk,Government,"Daryani Rahmawati, M.M.",+62-97-465-8487
4023,UD Pranowo Lestari,Government,Yusuf Suryono,(0210) 985-4032
4024,Perum Maryadi Gunawan Tbk,Property,Kanda Dongoran,(063) 806-8122
4025,CV Novitasari,Energy,Lalita Irawan,+62 (0019) 885-5262
4026,CV Rahmawati Wahyuni (Persero) Tbk,Property,Gamanto Budiman,+62 (45) 797-2585
4027,PD Namaga (Persero) Tbk,Energy,Prakosa Permata,080 568 4146
4028,Perum Winarno Siregar,Government,"Elvin Gunarto, S.Farm",+62 (27) 579 4899
4029,PT Nurdiyanti Widiastuti,Property,"Dr. Jail Latupono, S.E.",+62 (040) 931 5253
4030,Perum Mandala Tbk,Manufacturing,Niyaga Wulandari,(010) 191-3573
4031,PD Saputra Ramadan (Persero) Tbk,Infrastructure,Cemeti Nuraini,+62-882-154-5498
4032,PD Firgantoro Hutasoit,Retail,Okto Laksita,+62 (0809) 267 4355
4033,UD Maryati (Persero) Tbk,Energy,Gantar Nababan,+62-062-737-5393
4034,Perum Melani Tbk,Manufacturing,"Eluh Maryati, S.Pd",+62 (23) 279-1170
4035,PT Rahmawati Tbk,Retail,Jinawi Haryanto,(0531) 617 3424
4036,CV Siregar Budiman,Retail,Latika Oktaviani,+62-0927-627-5447
4037,CV Utami (Persero) Tbk,Property,"R.M. Jaswadi Pranowo, S.Sos",+62-0833-883-4365
4038,PD Nashiruddin,Retail,Prayitna Nuraini,+62 (068) 505-5315
4039,Perum Gunarto Prastuti Tbk,Infrastructure,"Dr. Sari Mansur, M.TI.",+62 (79) 561-6735
4040,PD Iswahyudi,Manufacturing,Daryani Laksita,(0972) 355-4696
4041,PT Utama Permata (Persero) Tbk,Retail,Darmana Simbolon,(013) 043 5783
4042,Perum Prakasa,Property,"Heryanto Pudjiastuti, S.IP",(051) 211 2693
4043,Perum Thamrin Zulaika (Persero) Tbk,Infrastructure,"Dt. Mulya Wulandari, S.IP",(0181) 156 9273
4044,PT Mangunsong Tbk,Government,"Lili Nuraini, S.Kom",088 559 0443
4045,PD Rajasa Pranowo (Persero) Tbk,Manufacturing,"Damar Wijayanti, S.Pt",(044) 804 6883
4046,UD Firmansyah Samosir (Persero) Tbk,Retail,Ir. Laras Hartati,+62-0383-343-4912
4047,CV Utami (Persero) Tbk,Property,dr. Cahyo Hardiansyah,+62 (0769) 535 1760
4048,Perum Uyainah Ramadan (Persero) Tbk,Government,Eja Mahendra,+62 (0393) 221-5212
4049,Perum Siregar Utama,Government,Puti Olivia Kusmawati,+62-03-093-5062
4050,CV Halimah Hardiansyah,Energy,Jaeman Firmansyah,(083) 683-8765
4051,Perum Sirait Haryanto,Infrastructure,Radika Suwarno,0867277630
4052,UD Winarsih,Retail,Devi Nurdiyanti,+62 (0420) 450-9013
4053,Perum Padmasari Tbk,Property,"Dr. Viktor Narpati, S.E.",(033) 528-1461
4054,PT Hutagalung Sihotang (Persero) Tbk,Energy,R. Lantar Adriansyah,0896629822
4055,Perum Manullang Situmorang,Infrastructure,Hj. Dalima Utama,+62 (453) 731 9865
4056,Perum Irawan Salahudin (Persero) Tbk,Energy,Wirda Wahyuni,0830145751
4057,PD Budiman,Manufacturing,Ir. Eva Prasasta,+62-230-160-3123
4058,UD Siregar (Persero) Tbk,Infrastructure,"H. Murti Wahyuni, M.Pd",(0235) 841 0912
4059,UD Budiman Rahimah (Persero) Tbk,Infrastructure,Sutan Gandewa Mandala,+62 (13) 462 7051
4060,Perum Nasyidah Purwanti,Retail,Yahya Hidayanto,+62 (038) 847 8917
4061,CV Tarihoran,Infrastructure,Kiandra Novitasari,+62-0041-684-4118
4062,Perum Jailani Sihombing (Persero) Tbk,Energy,Indra Santoso,+62-468-629-5538
4063,PT Januar,Infrastructure,Martana Uwais,+62 (0029) 563 3148
4064,PT Mahendra Saragih (Persero) Tbk,Retail,Lalita Sihombing,+62-78-540-7343
4065,PT Utami,Retail,"Puti Almira Pradana, S.Farm",+62 (0424) 025 6794
4066,CV Utama Tbk,Manufacturing,"Nurul Sitorus, S.Psi",+62 (988) 736 0208
4067,PT Rahimah Astuti Tbk,Energy,Novi Mandasari,+62 (209) 373-2566
4068,UD Namaga Sihombing,Government,Bagus Simanjuntak,+62 (0838) 420-8351
4069,UD Farida Siregar Tbk,Government,R.A. Ellis Marbun,+62 (073) 382-0012
4070,PT Purwanti,Infrastructure,Luhung Marpaung,+62 (0214) 390 5977
4071,PD Wacana,Manufacturing,Jail Dongoran,+62 (0949) 285-8797
4072,CV Wijaya Nugroho Tbk,Property,Septi Dabukke,+62 (653) 356 5070
4073,UD Widodo Situmorang (Persero) Tbk,Infrastructure,Ami Sitompul,+62 (452) 065-5441
4074,PT Nurdiyanti,Manufacturing,Ulya Palastri,+62 (0597) 162-0510
4075,UD Hartati,Energy,"Cut Karen Puspita, S.Ked",+62 (83) 769-1886
4076,UD Gunarto Uwais,Energy,Rizki Hakim,+62 (22) 706-3682
4077,PD Marbun Laksita,Energy,Lala Saragih,+62-005-786-7597
4078,PT Zulaika Hasanah,Energy,"T. Baktianto Pradipta, S.Farm",(0411) 080-0778
4079,PD Zulkarnain Siregar,Energy,"Ami Prasasta, S.Psi",+62-34-572-5791
4080,UD Padmasari Prasetya,Manufacturing,"Galih Anggriawan, S.Ked",+62-007-990-0521
